unii	pt	rxcui	db_uri1	db_uri2	chebi	nui	nameAndRole
0001H6R5H1	CEROUS SALICYLATE						
000360VJE1	DI(DEHYDROABIETYL)AMINE ACETATE						
000705ZASD	ADECATUMUMAB						
00072J7XWS	GERMANIUM	4784.0			http://purl.obolibrary.org/obo/CHEBI_30441		
00083HM9BY	SILVERGRAY ROCKFISH						
0009YL8Y42	5-(3-BROMO-4,5-DIMETHOXYBENZYL)PYRIMIDINE-2,4-DIAMINE						
000BPI4XCV	DIHEPTYLUNDECYL ADIPATE						
000F949089	SPIROFYLLINE						
000J930IO1	COBALTOUS STEARATE						
000M2579QZ	MANGANESE 2-MERCAPTOBENZOTHIAZOLE						
000N5814MR	4-CHLORO-3-(TRIFLUOROMETHYL)ANILINE						
000TKM5BBQ	ABLUKAST						
0019FYD0QQ	3,4-DIBROMOBIPHENYL						
001A774R6Q	BONEFISH						
001E35HGVF	MAGNOLOL						
001L2FE0M3	ALVESPIMYCIN						
001O2254AC	ALPHAPRODINE						
0020414E5U	MINOCYCLINE HYDROCHLORIDE	6979.0					
0022LFJ74Y	TARAXACUM OFFICINALE LEAF	1309287.0					
00238AP6R9	TRICHLORMETHINE HYDROCHLORIDE						
0023W2809K	BIS(TRIPROPYLTIN) OXIDE						
0025848ZTJ	METCONAZOLE, CIS-						
0026F8BCCU	CHOLYLSARCOSINE SODIUM						
002FR4N8OV	LAURETH-15						
002RK9L1FN	MICHELIA ALBA LEAF OIL						
00338G7O3S	NORTHERN KINGFISH WHOLE						
00344T3G2P	CRA-0450 FREE BASE						
0035H8M4YL	HEPTAVERINE						
0037Y2U78J	PEG-15 HYDROGENATED LANOLIN						
0038LLQ2FO	BLUESPOTTED SPINEFISH, COOKED						
00399V6E44	DESACETYLASPERULOSIDIC ACID						
003ABL14YC	BLUE TILAPIA WHOLE						
003I54IGWO	BROMINE BR-77						
003N66TS6T	RASAGILINE	134748.0	http://www.drugbank.ca/drugs/DB01367	http://bio2rdf.org/drugbank:DB01367	http://purl.obolibrary.org/obo/CHEBI_63620	N0000175744	Monoamine Oxidase Inhibitor [EPC]
