concept_id|concept_code
1524674|77655
1116031|135775
19026707|78902
19100418|37324
19040624|37328
19043266|39364
19036942|190433
918881|32673
19028945|34479
19009540|11256
19100775|38382
19042191|38386
913782|119565
19018516|18609
1734205|18687
42899439|1309249
43560326|1435288
904351|683
1114220|7242
19092433|23796
19063245|49428
1526475|341248
19057394|23852
19103189|40762
19037704|19469
19008276|69528
19083839|32941
19022170|32950
922191|32987
19014509|72467
1154077|88014
19025422|33753
19133992|8348
19093364|33758
19135940|91559
19020124|1511
1592085|6472
715233|1292
19113039|52103
1501309|10572
1738521|3640
1507705|2878
948760|8560
1315865|321208
19017458|325518
19065826|253204
1353256|8754
19060393|9060
19037768|36224
969444|53750
731533|352372
19003249|27793
19113032|51486
19067274|51487
1347384|83818
766337|50675
1000979|26344
19096133|24946
1396131|24947
19002770|27340
19003201|27729
713192|72236
1189458|228783
19095275|34312
927322|34316
19115050|55679
977421|55681
19063387|9388
939976|36721
19049707|20881
19122262|59860
19112540|47070
19029322|34710
19020950|19900
19035595|18896
915518|134568
948078|40790
19035533|18880
19016435|1372
19018541|18891
19047265|21272
1322184|32968
19050907|21285
40239056|1100072
42709314|1232405
42903459|1312396
42903460|1312397
43532280|1426884
19015703|72901
19024772|77754
1310937|114203
739363|36514
1316262|136411
19016725|137939
43525800|1371311
44507608|1442510
44507610|1441652
44507611|1442093
43532248|1424668
19025274|7806
19066567|259389
1124957|7804
19072151|30218
19072152|30225
19010924|30227
19011339|135091
921956|753346
902938|274964
19122855|60451
19100574|38021
19059741|89959
19114603|544983
19021932|32894
19003570|279950
922024|32926
19024140|76887
19045045|4018
740275|2002
19008870|29256
19018416|7402
19071993|29263
19008897|29268
19071995|29275
19008994|29410
19096489|25089
730729|8004
19123729|618371
19126536|70616
19010564|113831
19080982|595060
43013731|1368208
43013732|1368900
43013738|1368212
43531848|1426417
19072857|2183
19066891|9774
19059817|9002
19005101|10804
19123338|60906
19090680|235569
902427|10600
1036425|10179
42903834|1314351
1338005|19484
19058510|47589
711714|3105
939881|1992
19008867|2921
924939|1596
719174|1424
19058355|2420
738818|3642
917006|1399
1740546|2015
986515|2219
19059482|47907
933724|8120
40073013|373832
40073015|377791
40073017|376333
40085845|374110
40085847|374111
40085849|375320
40093715|373947
40076117|375228
40076719|375260
40091895|374519
40091900|437404
40082189|451826
40082190|376301
40082191|373998
40092339|374659
40072151|385094
40072153|402341
40072154|373195
40072156|373196
40072160|373198
40093728|438054
40094061|370858
40077256|377457
40077257|375923
40076680|373743
40076681|373744
40076682|378045
40076683|373742
40092540|377081
40093679|371169
40093680|438037
40093687|377862
40093695|371171
40093697|438052
40087256|374282
40087258|378132
40088533|452545
40088544|376857
40089855|376889
40077889|377049
40077949|379306
40077951|373490
40077952|373487
40077954|373486
40079518|373780
40079524|451294
19031345|8015
40079525|374231
40078200|375909
40077976|374529
40071837|373258
40071866|378235
40071867|373015
40085864|374113
40085866|376368
40093396|385033
40093397|376460
40093398|385032
40087586|374226
40094893|377225
40094904|437071
40094905|437647
40094916|370936
40094917|370937
40094918|376549
40083014|379129
40088185|374072
40088187|452059
40086999|379424
40087000|375312
40087004|452310
40073938|373861
40073939|373862
40073940|377800
19019023|7418
19055605|235900
19055606|235901
19055608|235905
19013724|314494
19080405|314497
19124969|658
19049059|8589
42801285|1297533
42800778|1297531
42801287|1298944
42801306|1297535
19129642|7798
19024904|7801
19086622|22298
19069110|27779
19003206|27781
904704|107770
1102527|6754
19003070|6774
968426|52582
1309068|6984
1125765|7814
19025925|7816
19126622|7069
19007422|10561
1300751|105669
19053171|42826
916059|32301
989957|23350
19072085|29844
722424|75917
19009961|29950
19072087|29954
19009877|29903
1189490|22892
19071803|285157
19007490|6923
19018823|7414
19135782|8561
19008864|29209
948856|8570
19026674|7883
19010943|114189
19129635|7674
923829|7676
992308|23744
19045272|402316
19100347|261713
19019029|7419
19055717|235996
19082111|6027
19082306|6033
19050488|4177
1519936|14584
1350504|4179
19055901|23622
19091239|23623
