dron	rxcui	omop
DRON_00020329	10760	40085513
DRON_00020330	90127	40013419
DRON_00020331	91318	40028808
DRON_00020332	93672	40067433
DRON_00020333	95104	40023482
DRON_00020334	95600	40040328
DRON_00020335	96818	40085179
DRON_00020336	96819	40085517
DRON_00020337	103217	40028587
DRON_00020338	103328	40024775
DRON_00020339	103331	40050827
DRON_00020340	103754	40070563
DRON_00020341	106825	40070918
DRON_00020342	106841	40061561
DRON_00020343	107094	40080103
DRON_00020344	107287	40081717
DRON_00020345	108133	40049695
DRON_00020346	108499	40070891
DRON_00020347	109022	40037529
DRON_00020348	126481	40056048
DRON_00020349	142096	40010793
DRON_00020350	142249	40037531
DRON_00020351	152997	40075755
DRON_00020352	152998	40101380
DRON_00020353	154906	40067645
DRON_00020354	202507	40071547
DRON_00020355	204569	40053913
DRON_00020356	204578	40019855
DRON_00020357	204593	40074405
DRON_00020358	204674	40092616
DRON_00020359	204730	40054446
DRON_00020360	204747	40069735
DRON_00020361	205199	40068065
DRON_00020362	210387	40082080
DRON_00020363	212094	40018280
DRON_00020364	212342	40097047
DRON_00020365	221024	40096412
DRON_00020366	226681	40006428
DRON_00020367	237175	40037066
DRON_00020368	237177	40037058
DRON_00020369	237182	40042799
DRON_00020370	237183	40033697
DRON_00020371	237703	40012555
DRON_00020372	237783	40000600
DRON_00020373	237834	40006345
DRON_00020374	237899	40095274
DRON_00020375	237913	40098304
DRON_00020376	237915	40023127
DRON_00020377	237951	40065004
DRON_00020378	237976	40039531
DRON_00020379	237977	40076561
DRON_00020380	238093	40070919
DRON_00020381	238118	40003485
DRON_00020382	238137	40003488
DRON_00020383	238142	40003492
DRON_00020384	238148	40003551
DRON_00020385	238464	40084722
DRON_00020386	238543	40056316
DRON_00020387	238554	40061318
DRON_00020388	238561	40024922
DRON_00020389	238676	40051849
DRON_00020390	238687	40050996
DRON_00020391	238807	40101807
DRON_00020392	238826	40043080
DRON_00020393	238889	40001296
DRON_00020394	239053	40031407
DRON_00020395	239154	40047849
DRON_00020396	239166	40045808
DRON_00020397	239226	40052006
DRON_00020398	240136	40097009
DRON_00020399	240184	40025791
DRON_00020400	240572	40050296
DRON_00020401	240839	40011351
DRON_00020402	241713	40075753
DRON_00020403	241856	40100827
DRON_00020404	241862	40099496
DRON_00020405	241871	40050254
DRON_00020406	242222	40003511
DRON_00020407	243353	40061973
DRON_00020408	243436	40053597
DRON_00020409	243591	40004910
DRON_00020410	243611	40063655
DRON_00020411	244384	40018289
DRON_00020412	244416	40068168
DRON_00020413	244418	40091151
DRON_00020414	244664	40048284
DRON_00020415	244959	40015862
DRON_00020416	246839	40015827
DRON_00020417	248328	40080074
DRON_00020418	259690	40010999
DRON_00020419	259721	40025645
DRON_00020420	259734	40081953
DRON_00020421	284732	40037566
DRON_00020422	308670	40015307
DRON_00020423	308676	40019009
DRON_00020424	309038	40023453
DRON_00020425	309404	40027649
DRON_00020426	311255	40050732
DRON_00020427	311424	40054443
DRON_00020428	311514	40061328
DRON_00020429	311515	40066483
DRON_00020430	312895	40084358
DRON_00020431	313019	40080077
DRON_00020432	313192	40090906
DRON_00020433	313725	40092637
DRON_00020434	314003	40066480
DRON_00020435	347786	40073772
DRON_00020436	348051	40070010
DRON_00020437	348059	40021876
DRON_00020438	348060	40046683
DRON_00020439	348062	40021873
DRON_00020440	348063	40046684
DRON_00020441	348170	40097038
DRON_00020442	360238	40096697
