FDAPreferredTerm|DrugBankDrugString|DrugBank
.ALPHA.-AMINOISOBUTYRIC ACID|Alpha-Aminoisobutyric Acid|http://www.drugbank.ca/drugs/DB02952
.ALPHA.-D-GALACTURONIC ACID|Galacturonic Acid|http://www.drugbank.ca/drugs/DB03511
.ALPHA.-D-XYLOPYRANOSE|alpha-D-Xylopyranose|http://www.drugbank.ca/drugs/DB03389
.ALPHA.-GLUCOSE-1-PHOSPHATE|Alpha-D-Glucose-1-Phosphate|http://www.drugbank.ca/drugs/DB02843
.ALPHA.-KETOBUTYRIC ACID|2-Oxobutanoic Acid|http://www.drugbank.ca/drugs/DB04553
.ALPHA.-TOCOPHEROL, D-|Vitamin E|http://www.drugbank.ca/drugs/DB00163
.BETA.-ALANINE|Beta-Alanine|http://www.drugbank.ca/drugs/DB03107
.BETA.-D N-ACETYLGALACTOSAMINE|2-(Acetylamino)-2-Deoxy-a-D-Glucopyranose|http://www.drugbank.ca/drugs/DB03740
.BETA.-HYDROXY-L-ASPARTIC ACID, ERYTHRO-|Beta-Hydroxyaspartic Acid|http://www.drugbank.ca/drugs/DB03640
.BETA.-PICOLINE|3-Methylpyridine|http://www.drugbank.ca/drugs/DB01996
.GAMMA.-AMINOBUTYRIC ACID|Gamma(Amino)-Butyric Acid|http://www.drugbank.ca/drugs/DB02530
.GAMMA.-CARBOXYGLUTAMIC ACID|Gamma-Carboxy-Glutamic Acid|http://www.drugbank.ca/drugs/DB03847
1,2-DIMETHOXYETHANE|1,2-Dimethoxyethane|http://www.drugbank.ca/drugs/DB01749
1,3,5-BENZENETRICARBOXYLIC ACID|1,3,5-BENZENETRICARBOXYLIC ACID|http://www.drugbank.ca/drugs/DB08632
1,3,5-TRICHLOROBENZENE|1,3,5-Trichloro-Benzene|http://www.drugbank.ca/drugs/DB03836
1,3-DIPHENYLUREA|1,3-DIPHENYLUREA|http://www.drugbank.ca/drugs/DB07496
1,4-ANDROSTADIENE-3,17-DIONE|ANDROSTA-1,4-DIENE-3,17-DIONE|http://www.drugbank.ca/drugs/DB07373
1,4-BUTANEDIOL|1,4-Butanediol|http://www.drugbank.ca/drugs/DB01955
12-BROMO-1-DODECANOL|Bromo-Dodecanol|http://www.drugbank.ca/drugs/DB02619
12-BROMODODECANOIC ACID|12-Bromododecanoic Acid|http://www.drugbank.ca/drugs/DB02405
19-NORANDROST-4-ENE-3,17-DIONE|19-norandrostenedione|http://www.drugbank.ca/drugs/DB01434
1-AMINOANTHRACENE|Aminoanthracene|http://www.drugbank.ca/drugs/DB01976
1-AMINOCYCLOPROPANECARBOXYLIC ACID|1-Aminocyclopropanecarboxylic Acid|http://www.drugbank.ca/drugs/DB02085
1-ANILINO-8-NAPHTHALENESULFONIC ACID|1-Anilino-8-Naphthalene Sulfonate|http://www.drugbank.ca/drugs/DB04474
