FDAPreferredTerm|DrugBankDrugString|CHEBI
(-)-17-(CYCLOBUTYLMETHYL)MORPHINAN-3,14-DIOL|Butorphanol|http://purl.obolibrary.org/obo/CHEBI_3242
(-)-2-PYRROLIDONE-5-CARBOXYLIC ACID|Pyroglutamic Acid|http://purl.obolibrary.org/obo/CHEBI_18183
(-)-FTC|Emtricitabine|http://purl.obolibrary.org/obo/CHEBI_31536
(-)-HESPERETIN|Hesperetin|http://purl.obolibrary.org/obo/CHEBI_28230
(-)-TARTARIC ACID|D-tartaric acid|http://purl.obolibrary.org/obo/CHEBI_15672
(+)-TUBOCURARINE|Tubocurarine|http://purl.obolibrary.org/obo/CHEBI_9774
(2-METHYLPROPYL)BENZENE|Isobutylbenzene|http://purl.obolibrary.org/obo/CHEBI_43261
(DICHLOROMETHYLENE)DIPHOSPHONIC ACID|Clodronate|http://purl.obolibrary.org/obo/CHEBI_110423
(R,R)-2,3-BUTANEDIOL|(R,R)-2,3-Butanediol|http://purl.obolibrary.org/obo/CHEBI_16982
1-((2-(DIETHYLAMINO)ETHYL)AMINO)-4-METHYLTHIOXANTHEN-9-ONE|Lucanthone|http://purl.obolibrary.org/obo/CHEBI_51052
1-((P-(2-(5-CHLORO-O-ANISAMIDO)ETHYL)PHENYL)SULFONYL)-3-CYCLOHEXYLUREA|Glyburide|http://purl.obolibrary.org/obo/CHEBI_5441
1-(1-(3-(P-FLUOROBENZOYL)PROPYL)-1,2,3,6-TETRAHYDRO-4-PYRIDYL)-2-BENZIMIDAZOLINONE|Droperidol|http://purl.obolibrary.org/obo/CHEBI_4717
1-(3-(DIMETHYLAMINO)PROPYL)-1-(P-FLUOROPHENYL)-5-PHTHALANCARBONITRILE|Citalopram|http://purl.obolibrary.org/obo/CHEBI_3723
1-(3-AZABICYCLO(3.3.0)OCT-3-YL)-3-(P-TOLYLSULFONYL)UREA|Gliclazide|http://purl.obolibrary.org/obo/CHEBI_31654
1-(3-CYANO-3,3-DIPHENYLPROPYL)-4-PHENYLISONIPECOTIC ACID|Difenoxin|http://purl.obolibrary.org/obo/CHEBI_4534
1-(4-METHOXYBENZOYL)-2-PYRROLIDINONE|Aniracetam|http://purl.obolibrary.org/obo/CHEBI_47943
1-(5-ISOQUINOLINESULFONYL)-2-METHYLPIPERAZINE|1-(5-ISOQUINOLINESULFONYL)-2-METHYLPIPERAZINE|http://purl.obolibrary.org/obo/CHEBI_43385
1,1,1,2,2,3,3,3-OCTAFLUOROPROPANE|Perflutren|http://purl.obolibrary.org/obo/CHEBI_31980
1,2,5,8-TETRAHYDROXY-9,10-ANTHRAQUINONE|1,2,5,8-tetrahydroxyanthracene-9,10-dione|http://purl.obolibrary.org/obo/CHEBI_37495
1,2,5,8-TETRAHYDROXYANTHRAQUINONE|1,2,5,8-tetrahydroxyanthracene-9,10-dione|http://purl.obolibrary.org/obo/CHEBI_37495
1,2-BIS(2-METHOXYETHOXY)ETHANE|1-Methoxy-2-[2-(2-Methoxy-Ethoxy]-Ethane|http://purl.obolibrary.org/obo/CHEBI_44842
1,2-DIMETHYLBENZENE|Ortho-Xylene|http://purl.obolibrary.org/obo/CHEBI_28063
1,2-DITHIOLANE-3-PENTANOIC ACID|Lipoic Acid|http://purl.obolibrary.org/obo/CHEBI_16494
1,2-DITHIOLANE-3-VALERIC ACID|Lipoic Acid|http://purl.obolibrary.org/obo/CHEBI_16494
1,2-ETHANEDICARBOXYLIC ACID|Succinic acid|http://purl.obolibrary.org/obo/CHEBI_15741
1,3,5-BENZENETRICARBOXYLIC ACID|1,3,5-BENZENETRICARBOXYLIC ACID|http://purl.obolibrary.org/obo/CHEBI_46032
1,3,7-TRIMETHYLXANTHINE|Caffeine|http://purl.obolibrary.org/obo/CHEBI_27732
1,4-BUTANEDIOL|1,4-Butanediol|http://purl.obolibrary.org/obo/CHEBI_41189
