FDASubstancePrefName	DRUGBANK_CA	DRUGBANK_BIO2RDF
.ALPHA.-TOCOPHEROL	http://www.drugbank.ca/drugs/DB00163	http://bio2rdf.org/drugbank:DB00163
.ALPHA.-TOCOPHEROL, D-	http://www.drugbank.ca/drugs/DB00163	http://bio2rdf.org/drugbank:DB00163
.ALPHA.-TOCOPHEROL, DL-	http://www.drugbank.ca/drugs/DB00163	http://bio2rdf.org/drugbank:DB00163
.GAMMA.-AMINOBUTYRIC ACID	http://www.drugbank.ca/drugs/DB02530	http://bio2rdf.org/drugbank:DB02530
4-HYDROXYBUTANOIC ACID	http://www.drugbank.ca/drugs/DB01440	http://bio2rdf.org/drugbank:DB01440
ABACAVIR	http://www.drugbank.ca/drugs/DB01048	http://bio2rdf.org/drugbank:DB01048
ABATACEPT	http://www.drugbank.ca/drugs/DB01281	http://bio2rdf.org/drugbank:DB01281
ABCIXIMAB	http://www.drugbank.ca/drugs/DB00054	http://bio2rdf.org/drugbank:DB00054
ACAMPROSATE	http://www.drugbank.ca/drugs/DB00659	http://bio2rdf.org/drugbank:DB00659
ACARBOSE	http://www.drugbank.ca/drugs/DB00284	http://bio2rdf.org/drugbank:DB00284
ACEBUTOLOL	http://www.drugbank.ca/drugs/DB01193	http://bio2rdf.org/drugbank:DB01193
ACETAMINOPHEN	http://www.drugbank.ca/drugs/DB00316	http://bio2rdf.org/drugbank:DB00316
ACETATE ION	http://www.drugbank.ca/drugs/DB03166	http://bio2rdf.org/drugbank:DB03166
ACETAZOLAMIDE	http://www.drugbank.ca/drugs/DB00819	http://bio2rdf.org/drugbank:DB00819
ACETIC ACID	http://www.drugbank.ca/drugs/DB03166	http://bio2rdf.org/drugbank:DB03166
ACETYLCHOLINE	http://www.drugbank.ca/drugs/DB03128	http://bio2rdf.org/drugbank:DB03128
ACETYLCYSTEINE	http://www.drugbank.ca/drugs/DB06151	http://bio2rdf.org/drugbank:DB06151
ACITRETIN	http://www.drugbank.ca/drugs/DB00459	http://bio2rdf.org/drugbank:DB00459
ACYCLOVIR	http://www.drugbank.ca/drugs/DB00787	http://bio2rdf.org/drugbank:DB00787
ADALIMUMAB	http://www.drugbank.ca/drugs/DB00051	http://bio2rdf.org/drugbank:DB00051
ADAPALENE	http://www.drugbank.ca/drugs/DB00210	http://bio2rdf.org/drugbank:DB00210
ADEFOVIR	http://www.drugbank.ca/drugs/DB00718	http://bio2rdf.org/drugbank:DB00718
ADENINE	http://www.drugbank.ca/drugs/DB00173	http://bio2rdf.org/drugbank:DB00173
ADENOSINE	http://www.drugbank.ca/drugs/DB00640	http://bio2rdf.org/drugbank:DB00640
AGALSIDASE BETA	http://www.drugbank.ca/drugs/DB00103	http://bio2rdf.org/drugbank:DB00103
ALANINE	http://www.drugbank.ca/drugs/DB00160	http://bio2rdf.org/drugbank:DB00160
ALANINE	http://www.drugbank.ca/drugs/DB01786	http://bio2rdf.org/drugbank:DB01786
ALANINE, DL-	http://www.drugbank.ca/drugs/DB01786	http://bio2rdf.org/drugbank:DB01786
ALBENDAZOLE	http://www.drugbank.ca/drugs/DB00518	http://bio2rdf.org/drugbank:DB00518
ALBUMIN (HUMAN)	http://www.drugbank.ca/drugs/DB00062	http://bio2rdf.org/drugbank:DB00062
ALBUTEROL	http://www.drugbank.ca/drugs/DB01001	http://bio2rdf.org/drugbank:DB01001
ALCAFTADINE	http://www.drugbank.ca/drugs/DB06766	http://bio2rdf.org/drugbank:DB06766
ALCLOMETASONE	http://www.drugbank.ca/drugs/DB00240	http://bio2rdf.org/drugbank:DB00240
ALCLOMETASONE DIPROPIONATE	http://www.drugbank.ca/drugs/DB00240	http://bio2rdf.org/drugbank:DB00240
ALCOHOL	http://www.drugbank.ca/drugs/DB00898	http://bio2rdf.org/drugbank:DB00898
ALDESLEUKIN	http://www.drugbank.ca/drugs/DB00041	http://bio2rdf.org/drugbank:DB00041
ALEFACEPT	http://www.drugbank.ca/drugs/DB00092	http://bio2rdf.org/drugbank:DB00092
ALEMTUZUMAB	http://www.drugbank.ca/drugs/DB00087	http://bio2rdf.org/drugbank:DB00087
ALENDRONIC ACID	http://www.drugbank.ca/drugs/DB00630	http://bio2rdf.org/drugbank:DB00630
ALFENTANIL	http://www.drugbank.ca/drugs/DB00802	http://bio2rdf.org/drugbank:DB00802
ALFUZOSIN	http://www.drugbank.ca/drugs/DB00346	http://bio2rdf.org/drugbank:DB00346
ALGLUCOSIDASE ALFA	http://www.drugbank.ca/drugs/DB01272	http://bio2rdf.org/drugbank:DB01272
ALISKIREN	http://www.drugbank.ca/drugs/DB01258	http://bio2rdf.org/drugbank:DB01258
ALITRETINOIN	http://www.drugbank.ca/drugs/DB00523	http://bio2rdf.org/drugbank:DB00523
ALLOPURINOL	http://www.drugbank.ca/drugs/DB00437	http://bio2rdf.org/drugbank:DB00437
ALMOTRIPTAN	http://www.drugbank.ca/drugs/DB00918	http://bio2rdf.org/drugbank:DB00918
ALOSETRON	http://www.drugbank.ca/drugs/DB00969	http://bio2rdf.org/drugbank:DB00969
ALPRAZOLAM	http://www.drugbank.ca/drugs/DB00404	http://bio2rdf.org/drugbank:DB00404
ALPROSTADIL	http://www.drugbank.ca/drugs/DB00770	http://bio2rdf.org/drugbank:DB00770
ALTEPLASE	http://www.drugbank.ca/drugs/DB00009	http://bio2rdf.org/drugbank:DB00009
ALTRETAMINE	http://www.drugbank.ca/drugs/DB00488	http://bio2rdf.org/drugbank:DB00488
ALUMINUM	http://www.drugbank.ca/drugs/DB01370	http://bio2rdf.org/drugbank:DB01370
ALUMINUM HYDROXIDE	http://www.drugbank.ca/drugs/DB06723	http://bio2rdf.org/drugbank:DB06723
ALVIMOPAN	http://www.drugbank.ca/drugs/DB06274	http://bio2rdf.org/drugbank:DB06274
AMANTADINE	http://www.drugbank.ca/drugs/DB00915	http://bio2rdf.org/drugbank:DB00915
AMBENONIUM	http://www.drugbank.ca/drugs/DB01122	http://bio2rdf.org/drugbank:DB01122
AMCINONIDE	http://www.drugbank.ca/drugs/DB00288	http://bio2rdf.org/drugbank:DB00288
AMIFOSTINE	http://www.drugbank.ca/drugs/DB01143	http://bio2rdf.org/drugbank:DB01143
AMIKACIN	http://www.drugbank.ca/drugs/DB00479	http://bio2rdf.org/drugbank:DB00479
AMILORIDE	http://www.drugbank.ca/drugs/DB00594	http://bio2rdf.org/drugbank:DB00594
AMINOBENZOIC ACID	http://www.drugbank.ca/drugs/DB02362	http://bio2rdf.org/drugbank:DB02362
AMINOCAPROIC ACID	http://www.drugbank.ca/drugs/DB00513	http://bio2rdf.org/drugbank:DB00513
AMINOCAPROIC ACID	http://www.drugbank.ca/drugs/DB04134	http://bio2rdf.org/drugbank:DB04134
AMINOLEVULINIC ACID	http://www.drugbank.ca/drugs/DB00855	http://bio2rdf.org/drugbank:DB00855
AMINOPHYLLINE	http://www.drugbank.ca/drugs/DB01223	http://bio2rdf.org/drugbank:DB01223
AMINOPHYLLINE	http://www.drugbank.ca/drugs/DB00587	http://bio2rdf.org/drugbank:DB00587
AMINOSALICYLIC ACID	http://www.drugbank.ca/drugs/DB00233	http://bio2rdf.org/drugbank:DB00233
AMIODARONE	http://www.drugbank.ca/drugs/DB01118	http://bio2rdf.org/drugbank:DB01118
AMITRIPTYLINE	http://www.drugbank.ca/drugs/DB00321	http://bio2rdf.org/drugbank:DB00321
AMLODIPINE	http://www.drugbank.ca/drugs/DB00381	http://bio2rdf.org/drugbank:DB00381
AMOXAPINE	http://www.drugbank.ca/drugs/DB00543	http://bio2rdf.org/drugbank:DB00543
AMOXICILLIN	http://www.drugbank.ca/drugs/DB01060	http://bio2rdf.org/drugbank:DB01060
AMOXICILLIN ANHYDROUS	http://www.drugbank.ca/drugs/DB01060	http://bio2rdf.org/drugbank:DB01060
AMPHETAMINE	http://www.drugbank.ca/drugs/DB00182	http://bio2rdf.org/drugbank:DB00182
AMPHOTERICIN B	http://www.drugbank.ca/drugs/DB00681	http://bio2rdf.org/drugbank:DB00681
AMPICILLIN	http://www.drugbank.ca/drugs/DB00415	http://bio2rdf.org/drugbank:DB00415
AMPRENAVIR	http://www.drugbank.ca/drugs/DB00701	http://bio2rdf.org/drugbank:DB00701
AMYL NITRITE	http://www.drugbank.ca/drugs/DB01612	http://bio2rdf.org/drugbank:DB01612
ANAGRELIDE	http://www.drugbank.ca/drugs/DB00261	http://bio2rdf.org/drugbank:DB00261
ANAKINRA	http://www.drugbank.ca/drugs/DB00026	http://bio2rdf.org/drugbank:DB00026
ANASTROZOLE	http://www.drugbank.ca/drugs/DB01217	http://bio2rdf.org/drugbank:DB01217
ANIDULAFUNGIN	http://www.drugbank.ca/drugs/DB00362	http://bio2rdf.org/drugbank:DB00362
ANTHRALIN	http://www.drugbank.ca/drugs/DB00233	http://bio2rdf.org/drugbank:DB00233
ANTIPYRINE	http://www.drugbank.ca/drugs/DB01435	http://bio2rdf.org/drugbank:DB01435
APOMORPHINE	http://www.drugbank.ca/drugs/DB00714	http://bio2rdf.org/drugbank:DB00714
APRACLONIDINE	http://www.drugbank.ca/drugs/DB00515	http://bio2rdf.org/drugbank:DB00515
APRACLONIDINE	http://www.drugbank.ca/drugs/DB00964	http://bio2rdf.org/drugbank:DB00964
APREPITANT	http://www.drugbank.ca/drugs/DB00673	http://bio2rdf.org/drugbank:DB00673
ARBUTIN	http://www.drugbank.ca/drugs/DB02163	http://bio2rdf.org/drugbank:DB02163
ARFORMOTEROL	http://www.drugbank.ca/drugs/DB01274	http://bio2rdf.org/drugbank:DB01274
ARGATROBAN	http://www.drugbank.ca/drugs/DB00278	http://bio2rdf.org/drugbank:DB00278
ARGININE	http://www.drugbank.ca/drugs/DB00125	http://bio2rdf.org/drugbank:DB00125
ARIPIPRAZOLE	http://www.drugbank.ca/drugs/DB01238	http://bio2rdf.org/drugbank:DB01238
ARSENIC TRIOXIDE	http://www.drugbank.ca/drugs/DB01169	http://bio2rdf.org/drugbank:DB01169
ARTEMETHER	http://www.drugbank.ca/drugs/DB06697	http://bio2rdf.org/drugbank:DB06697
ASCORBIC ACID	http://www.drugbank.ca/drugs/DB00126	http://bio2rdf.org/drugbank:DB00126
ASIAN GINSENG	http://www.drugbank.ca/drugs/DB01404	http://bio2rdf.org/drugbank:DB01404
