Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
.ALPHA.-TOCOPHEROL	H4N855PNZ1	DB00163	Vitamin E			DB00163	Vitamin E
.ALPHA.-TOCOPHEROL ACETATE, D-	A7E6112E4N						
.ALPHA.-TOCOPHEROL ACETATE, DL-	WR1WPI7EW8						
.ALPHA.-TOCOPHEROL SUCCINATE, D-	LU4B53JYVE						
.ALPHA.-TOCOPHEROL, D-	N9PR3490H9					DB00163	Vitamin E
.ALPHA.-TOCOPHEROL, DL-	7QWA1RIO01					DB00163	Vitamin E
.BETA.-CAROTENE	01YAE03M7J						
.GAMMA.-AMINOBUTYRIC ACID	2ACZ6IPC6I	DB02530	Gamma(Amino)-Butyric Acid			DB02530	Gamma(Amino)-Butyric Acid
1-OCTACOSANOL	81I2215OVK						
2-ETHYLHEXYL 4-PHENYLBENZOPHENONE-2'-CARBOXYLATE	93NOD9WBCS						
2-MERCAPTOETHANESULFONIC ACID	VHD28S0H7F						
4-HYDROXYBUTANOIC ACID	30IW36W5B2					DB01440	Gamma Hydroxybutyric Acid
ABACAVIR	WR2TIP26VS	DB01048	Abacavir			DB01048	Abacavir
ABATACEPT	7D0YB67S97	DB01281	Abatacept				
ABCIXIMAB	X85G7936GV	DB00054	Abciximab				
ABIRATERONE	G819A456D0						
ABSIDIA CAPILLATA	15VX0351MT						
ACACIA	5C5403N26O						
ACACIA BAILEYANA POLLEN	59WAV8G5X5						
ACACIA LONGIFOLIA POLLEN	24SO2J296O						
ACAMPROSATE	N4K14YGM3J	DB00659	Acamprosate	DB00659	Acamprosate		
ACARBOSE	T58MSI464G	DB00284	Acarbose	DB00284	Acarbose		
ACEBUTOLOL	67P356D8GH	DB01193	Acebutolol	DB01193	Acebutolol		
ACECLOFENAC	RPK779R03H						
ACER MACROPHYLLUM POLLEN	E4CG5Q55M1						
ACER NEGUNDO POLLEN	P6K070AR8V						
ACER RUBRUM POLLEN	700NK45C76						
ACER SACCHARINUM POLLEN	95447163DG						
ACER SACCHARUM POLLEN	V38QUQ7861						
ACETAMINOPHEN	362O9ITL9D	DB00316	Acetaminophen			DB00316	Acetaminophen
ACETATE ION	569DQM74SC	DB03166	Acetic acid	DB03166	Acetic acid	DB03166	Acetic acid
ACETAZOLAMIDE	O3FX965V0I	DB00819	Acetazolamide	DB00819	Acetazolamide	DB00819	Acetazolamide
ACETIC ACID	Q40Q9N063P	DB03166	Acetic acid			DB03166	Acetic acid
ACETYLCHOLINE	N9YNS0M02X	DB03128	Acetylcholine	DB03128	Acetylcholine		
ACETYLCYSTEINE	WYQ7N0BPYC	DB06151	Acetylcysteine	DB06151	Acetylcysteine	DB06151	Acetylcysteine
ACHETA DOMESTICUS	P9S201X6LH						
ACITRETIN	LCH760E9T7	DB00459	Acitretin	DB00459	Acitretin	DB00459	Acitretin
ACLIDINIUM BROMIDE	UQW7UF9N91						
ACREMONIUM STRICTUM	3F36V0451W						
ACRIVASTINE	A20F9XAI7W						
ACROTHECIUM ROBUSTUM	C91ZMT66YA						
ACTIVATED CHARCOAL	2P3VWU3H10						
ACYCLOVIR	X4HES1O11F	DB00787	Aciclovir	DB00787	Aciclovir	DB00787	Aciclovir
ADALIMUMAB	FYS6T7F842	DB00051	Adalimumab				
ADAPALENE	1L4806J2QF	DB00210	Adapalene	DB00210	Adapalene		
ADEFOVIR	6GQP90I798	DB00718	Adefovir Dipivoxil				
ADENINE	JAC85A2161	DB00173	Adenine	DB00173	Adenine	DB00173	Adenine
ADENOSINE	K72T3FS567	DB00640	Adenosine	DB00640	Adenosine		
AEDES TAENIORHYNCHUS	BN2DNW66IQ						
AFLIBERCEPT	15C2VL427D						
AGALSIDASE BETA	RZD65TSM9U	DB00103	Agalsidase beta				
AGAVE SISALANA FIBER	MRJ91HVV4H						
AGROSTIS GIGANTEA POLLEN	HU8V6E7HOA						
AGROSTIS STOLONIFERA POLLEN	255H8VT4RK						
AILANTHUS ALTISSIMA POLLEN	2A64U81OQ3						
AIR	K21NZZ5Y0B						
ALANINE	OF5P57N2ZX	DB00160	L-Alanine	DB00160	L-Alanine	DB01786	D-Alanine
ALANINE, DL-	1FU7983T0U					DB01786	D-Alanine
ALBENDAZOLE	F4216019LN	DB00518	Albendazole	DB00518	Albendazole		
ALBUMIN (HUMAN)	ZIF514RVZR	DB00062	Human Serum Albumin				
ALBUMIN AGGREGATED	799C8VF17R						
ALBUTEROL	QF8SVZ843E	DB01001	Salbutamol	DB01001	Salbutamol	DB01001	Salbutamol
ALCAFTADINE	7Z8O94ECSX	DB06766	Alcaftadine			DB06766	Alcaftadine
