Drug,Therapeutic Area,Biomarker,Label Sections
Abacavir ,Antivirals ,HLA-B*5701 ,"Boxed Warning, Contraindications, Warnings and Precautions, Patient Counseling Information"
Aripiprazole ,Psychiatry ,CYP2D6 ,"Clinical Pharmacology, Dosage and Administration"
Arsenic Trioxide ,Oncology ,PML/RARα ,"Boxed Warning, Clinical Pharmacology, Indications and Usage, Warnings"
Atomoxetine ,Psychiatry ,CYP2D6 ,"Dosage and Administration, Warnings and Precautions, Drug Interactions, Clinical Pharmacology"
Atorvastatin ,Metabolic and Endocrinology ,LDL receptor ,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Clinical Pharmacology, Clinical Studies"
Azathioprine ,Rheumatology ,TPMT ,"Dosage and Administration, Warnings and Precautions, Drug Interactions, Adverse Reactions, Clinical Pharmacology"
Boceprevir ,Antivirals ,IL28B ,Clinical Pharmacology
Brentuximab Vedotin ,Oncology ,CD30 ,"Indications and Usage, Description, Clinical Pharmacology"
Busulfan ,Oncology ,Ph Chromosome ,Clinical Studies
Capecitabine ,Oncology ,DPD ,"Contraindications, Precautions, Patient Information"
Carbamazepine ,Neurology ,HLA-B*1502 ,"Boxed Warning, Warnings and Precautions"
Carisoprodol ,Musculoskeletal ,CYP2C19 ,"Clinical Pharmacology, Special Populations"
Carvedilol ,Cardiovascular ,CYP2D6 ,"Drug Interactions, Clinical Pharmacology"
Celecoxib ,Analgesics ,CYP2C9 ,"Dosage and Administration, Drug Interactions, Use in Specific Populations, Clinical Pharmacology"
Cetuximab (1) ,Oncology ,EGFR ,"Indications and Usage, Warnings and Precautions, Description, Clinical Pharmacology, Clinical Studies"
Cetuximab (2) ,Oncology ,KRAS ,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Cevimeline ,Dermatology and Dental ,CYP2D6 ,Drug Interactions
Chlordiazepoxide and Amitriptyline ,Psychiatry ,CYP2D6 ,Precautions
Chloroquine ,Antiinfectives ,G6PD ,Precautions
Cisplatin ,Oncology ,TPMT ,"Clinical Pharmacology, Warnings, Precautions"
Citalopram (1) ,Psychiatry ,CYP2C19 ,"Drug Interactions, Warnings"
Citalopram (2) ,Psychiatry ,CYP2D6 ,Drug Interactions
Clobazam ,Neurology ,CYP2C19 ,"Clinical Pharmacology, Dosage and Administration, Use in Specific Populations"
Clomiphene ,Reproductive and Urologic ,Rh genotype ,Precautions
Clomipramine ,Psychiatry ,CYP2D6 ,Drug Interactions
Clopidogrel ,Cardiovascular ,CYP2C19 ,"Boxed Warning, Dosage and Administration, Warnings and Precautions, Drug Interactions, Clinical Pharmacology"
Clozapine ,Psychiatry ,CYP2D6 ,"Drug Interactions, Clinical Pharmacology"
Codeine ,Analgesics ,CYP2D6 ,"Warnings and Precautions, Use in Specific Populations, Clinical Pharmacology"
Crizotinib ,Oncology ,ALK ,"Indications and Usage, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Dapsone ,Dermatology and Dental ,G6PD ,"Indications and Usage, Precautions, Adverse Reactions, Patient Counseling Information"
Dasatinib ,Oncology ,Ph Chromosome ,"Indications and Usage, Clinical Studies, Patient Counseling Information"
Denileukin Diftitox ,Oncology ,CD25 ,"Indications and Usage, Warnings and Precautions, Clinical Studies"
Desipramine ,Psychiatry ,CYP2D6 ,Drug Interactions
Dexlansoprazole (1) ,Gastroenterology ,CYP2C19 ,"Clinical Pharmacology, Drug Interactions"
Dexlansoprazole (2) ,Gastroenterology ,CYP1A2 ,Clinical Pharmacology
