Abacavir|Antivirals|HLA-B*5701|"Boxed Warning, Contraindications, Warnings and Precautions, Patient Counseling Information"
Ado-Trastuzumab Emtansine|Oncology|ERBB2 (HER2)|"Indications and Usage, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Aripiprazole|Psychiatry|CYP2D6|"Clinical Pharmacology, Dosage and Administration"
Arsenic Trioxide|Oncology|PML/RARα|"Boxed Warning, Clinical Pharmacology, Indications and Usage, Warnings"
Atomoxetine|Psychiatry|CYP2D6|"Dosage and Administration, Warnings and Precautions, Drug Interactions, Clinical Pharmacology"
Atorvastatin|Metabolic and Endocrinology|LDL receptor|"Indications and Usage, Dosage and Administration, Warnings and Precautions, Clinical Pharmacology, Clinical Studies"
Azathioprine|Rheumatology|TPMT|"Dosage and Administration, Warnings and Precautions, Drug Interactions, Adverse Reactions, Clinical Pharmacology"
Boceprevir|Antivirals|IL28B|Clinical Pharmacology
Brentuximab Vedotin|Oncology|CD30|"Indications and Usage, Description, Clinical Pharmacology"
Busulfan|Oncology|Ph Chromosome|Clinical Studies
Capecitabine|Oncology|DPD|"Contraindications, Precautions, Patient Information"
Carbamazepine|Neurology|HLA-B*1502|"Boxed Warning, Warnings and Precautions"
Carisoprodol|Musculoskeletal|CYP2C19|"Clinical Pharmacology, Special Populations"
Carvedilol|Cardiovascular|CYP2D6|"Drug Interactions, Clinical Pharmacology"
Celecoxib|Analgesics|CYP2C9|"Dosage and Administration, Drug Interactions, Use in Specific Populations, Clinical Pharmacology"
Cetuximab|Oncology|EGFR|"Indications and Usage, Warnings and Precautions, Description, Clinical Pharmacology, Clinical Studies"
Cetuximab|Oncology|KRAS|"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Cevimeline|Dermatology and Dental|CYP2D6|Drug Interactions
Chlordiazepoxide and Amitriptyline|Psychiatry|CYP2D6|Precautions
Chloroquine|Antiinfectives|G6PD|Precautions
Cisplatin|Oncology|TPMT|"Clinical Pharmacology, Warnings, Precautions"
Citalopram|Psychiatry|CYP2C19|"Drug Interactions, Warnings"
Citalopram|Psychiatry|CYP2D6|Drug Interactions
Clobazam|Neurology|CYP2C19|"Clinical Pharmacology, Dosage and Administration, Use in Specific Populations"
Clomipramine|Psychiatry|CYP2D6|Drug Interactions
Clopidogrel|Cardiovascular|CYP2C19|"Boxed Warning, Dosage and Administration, Warnings and Precautions, Drug Interactions, Clinical Pharmacology"
Clozapine|Psychiatry|CYP2D6|"Drug Interactions, Clinical Pharmacology"
Codeine|Analgesics|CYP2D6|"Warnings and Precautions, Use in Specific Populations, Clinical Pharmacology"
Crizotinib|Oncology|ALK|"Indications and Usage, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Dapsone|Dermatology|G6PD|"Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Patient Counseling Information"
Dapsone|Antiinfectives|G6PD|"Precautions, Adverse Reactions, Overdosage"
Dasatinib|Oncology|Ph Chromosome|"Indications and Usage, Clinical Studies, Patient Counseling Information"
Denileukin Diftitox|Oncology|CD25|"Indications and Usage, Warnings and Precautions, Clinical Studies"
Desipramine|Psychiatry|CYP2D6|Drug Interactions
Dexlansoprazole|Gastroenterology|CYP2C19|"Clinical Pharmacology, Drug Interactions"
Dexlansoprazole|Gastroenterology|CYP1A2|Clinical Pharmacology
Dextromethorphan and Quinidine|Neurology|CYP2D6|"Clinical Pharmacology, Warnings and Precautions"
Diazepam|Psychiatry|CYP2C19|"Drug Interactions, Clinical Pharmacology"
Doxepin|Psychiatry|CYP2D6|Precautions
Drospirenone and Ethinyl Estradiol|Reproductive|CYP2C19|"Precautions, Drug Interactions"
Eltrombopag|Hematology|Factor V Leiden (FV)|Warnings and Precautions
