rxcui;nui;drugname
44;N0000147597;MESNA
44;N0000007017;Mesna [Chemical/Ingredient]
61;N0000177951;BETA-ALANINE
61;N0000170224;beta-Alanine [Chemical/Ingredient]
74;N0000006481;4-Aminobenzoic Acid [Chemical/Ingredient]
74;N0000147349;PARA-AMINOBENZOIC ACID
90;N0000148114;EICOSAPENTAENOIC ACID
90;N0000004740;Eicosapentaenoic Acid [Chemical/Ingredient]
94;N0000170250;5-Hydroxytryptophan [Chemical/Ingredient]
94;N0000176007;HYDROXYTRYPTOPHAN
97;N0000148214;TICLOPIDINE HYDROCHLORIDE
97;N0000178877;Ticlopidine Hydrochloride [Chemical/Ingredient]
99;N0000170207;6-Aminocaproic Acid [Chemical/Ingredient]
99;N0000146262;AMINOCAPROIC ACID
103;N0000006010;6-Mercaptopurine [Chemical/Ingredient]
103;N0000147079;MERCAPTOPURINE
110;N0000146819;OXYQUINOLINE
110;N0000006016;Oxyquinoline [Chemical/Ingredient]
149;N0000147688;ACEBUTOLOL
149;N0000007333;Acebutolol [Chemical/Ingredient]
154;N0000167009;Acenocoumarol [Chemical/Ingredient]
155;N0000167279;Acepromazine [Chemical/Ingredient]
161;N0000145898;ACETAMINOPHEN
161;N0000007359;Acetaminophen [Chemical/Ingredient]
162;N0000148278;ACETANILIDE
162;N0000175353;acetanilide [Chemical/Ingredient]
164;N0000147025;ACETATE
167;N0000146250;ACETAZOLAMIDE
167;N0000007364;Acetazolamide [Chemical/Ingredient]
168;N0000145831;ACETIC ACID
168;N0000146780;ACETIC ACID,GLACIAL
168;N0000006517;Acetic Acid [Chemical/Ingredient]
173;N0000145888;ACETOHEXAMIDE
173;N0000007387;Acetohexamide [Chemical/Ingredient]
178;N0000147297;ACETONE
178;N0000007389;Acetone [Chemical/Ingredient]
193;N0000179824;ACETYLCARNITINE
193;N0000166509;Acetylcarnitine [Chemical/Ingredient]
194;N0000147690;ACETYLCHOLINE
194;N0000006306;Acetylcholine [Chemical/Ingredient]
195;N0000167628;Acetylcholinesterase [Chemical/Ingredient]
197;N0000147113;ACETYLCYSTEINE
197;N0000006327;Acetylcysteine [Chemical/Ingredient]
199;N0000168451;Acetyldigoxins [Chemical/Ingredient]
200;N0000166369;Acetylene [Chemical/Ingredient]
236;N0000148064;ACIDULATED PHOSPHATE FLUORIDE
236;N0000006411;Acidulated Phosphate Fluoride [Chemical/Ingredient
239;N0000168464;Aclarubicin [Chemical/Ingredient]
249;N0000148332;ACRIFLAVINE
249;N0000006483;Acriflavine [Chemical/Ingredient]
270;N0000148017;SPECTINOMYCIN
270;N0000006595;Spectinomycin [Chemical/Ingredient]
272;N0000178878;Activated Charcoal [Chemical/Ingredient]
272;N0000147392;CHARCOAL,ACTIVATED
